frame_id,timestamp,raw_steer,raw_thr,final_steer,final_thr,act_steer,act_thr,lane_detected,n_objects,scenario
185,1775827776.6801,+0.92908,0.99901,+0.92908,0.34965,+0.92908,0.34965,1,0,0
186,1775827776.8253,+0.95506,0.99908,+0.95506,0.34968,+0.95506,0.34968,1,0,0
187,1775827776.9586,+0.96656,0.99926,+0.96656,0.34974,+0.96656,0.34974,1,0,0
188,1775827777.1048,+0.96934,0.99925,+0.96934,0.34974,+0.96934,0.34974,1,0,0
189,1775827777.2345,+0.97203,0.99924,+0.97203,0.34974,+0.97203,0.34974,1,0,0
190,1775827777.3607,+0.97228,0.99921,+0.97228,0.34972,+0.97228,0.34972,1,0,0
191,1775827777.5008,+0.97595,0.99940,+0.97595,0.34979,+0.97595,0.34979,1,0,0
192,1775827777.6183,+0.97484,0.99942,+0.97484,0.34980,+0.97484,0.34980,1,0,0
193,1775827777.7334,+0.97541,0.99943,+0.97541,0.34980,+0.97541,0.34980,1,0,0
194,1775827777.8743,+0.97960,0.99945,+0.97960,0.34981,+0.97960,0.34981,1,0,0
195,1775827778.0090,+0.97466,0.99940,+0.97466,0.34979,+0.97466,0.34979,1,0,0
